@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.RankSearch -S 1 -R 0 -A weka.attributeSelection.GainRatioAttributeEval --'

@attribute 1 numeric
@attribute 4 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 18 numeric
@attribute 20 numeric
@attribute 24 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 42 numeric
@attribute 44 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
137,83.199,83.137,138.9,13121,127.08,0.96662,435.61,0.79125,0.83993,34.25,68.5,117,0.33078,2.7485,3.2395,4.1795,3.7667,3.8531,4.9774,11856,3307,564,2,4,25,2
124,73.635,73.659,124.02,10010,110.43,0.95674,403.69,0.78014,0.73849,31,62,97,0.72071,2.414,2.9933,3.2463,2.8166,3.0857,2.8339,163,0,0,0,10,0,2
104,83.378,83.443,127.78,11129,113.97,0.91661,424.22,0.80399,0.71233,26,52,122,1,1.9189,2.4693,2.9133,1.7275,1.7275,2.5225,10195,10125,9653,5008,1,2,2
125,74.607,74.622,123.96,10394,112.16,0.95064,431.54,0.77498,0.66677,31.25,62.5,100,0.72067,2.4781,3.0687,3.325,2.814,3.1431,2.8088,171,0,0,0,11,0,2
123,75.852,75.84,124.96,9399,106.5,0.94776,388.46,0.77874,0.7418,30.75,61.5,91,0.72976,2.0662,2.6316,2.9712,2.5383,2.6686,3.1314,221,0,0,0,16,0,2
126,91.697,91.714,122.17,11139,116.02,0.9491,459.82,0.76977,0.62834,31.5,63,109,0.77125,2.4057,3.088,3.543,2.2871,2.4463,3.0709,220,0,0,0,13,0,2
135,71.586,71.633,125.18,11982,111.48,0.81456,445.25,0.53553,0.61866,33.75,67.5,124,0.94562,3.1703,3.6413,3.2302,3.9809,5.0551,3.6652,7491,139,0,0,30,0,3
114,76.879,76.858,108.72,9410,97.773,0.79787,429.46,0.58283,0.51154,28.5,57,109,0.8968,2.3766,2.9075,2.7388,4.2456,5.3281,3.729,4572,29,0,0,52,0,3
119,68.035,68.095,114.22,9941,100.54,0.79861,442.12,0.58012,0.51038,29.75,59.5,113,0.91586,2.6176,3.0803,2.9257,4.5131,5.6189,3.7965,5193,509,0,0,4,0,3
119,67.998,68.086,114.74,9996,100.96,0.80082,436.84,0.58495,0.52714,29.75,59.5,114,0.91795,2.6248,3.0912,2.9498,4.4973,5.5791,3.7934,5208,508,0,0,4,0,3
123,77.059,77.033,118.35,10390,103.55,0.81059,437.96,0.55219,0.55178,30.75,61.5,115,0.5549,2.7524,3.2275,2.9265,4.854,5.8184,4.8323,6342,321,0,0,3,0,3
127,84.833,84.728,118.63,10688,106.34,0.83103,423.04,0.56859,0.62368,31.75,63.5,112,0.58037,2.7881,3.3351,2.9256,4.4264,5.4803,4.2142,7082,13,0,0,21,0,3
138,76.487,76.504,137.05,14685,134.04,0.96098,462.65,0.75749,0.82851,34.5,69,135,0.88574,2.3321,3.2169,4.8772,2.2728,2.4741,4.236,5484,242,3,0,35,1,4
134,80.596,80.751,134.63,14180,129.82,0.9335,576.99,0.7056,0.49965,33.5,67,138,0.92195,2.0102,2.9126,4.4036,2.6108,2.7764,4.3438,3557,0,0,0,43,0,4
128,73.884,74.078,147.38,15118,136.54,0.96851,495.7,0.7835,0.74882,32,64,144,0.55201,2.5697,3.4011,4.7848,2.6485,2.8951,5.0027,9196,590,0,0,18,0,4
140,77.624,77.457,151.68,17408,145.03,0.94893,624.06,0.79725,0.53301,35,70,148,0.411,2.6091,3.5724,4.9551,3.3939,3.8859,5.0121,3370,0,0,0,80,0,4
122,82.613,82.582,114.81,9127,104.93,0.94741,359.83,0.68151,0.83923,30.5,61,100,0.63346,3.2553,3.478,3.2348,5.5168,5.9089,4.9308,8319,7659,5849,148,2,34,5
117,76.585,76.585,110.79,9351,104.47,0.91659,367.76,0.65997,0.79637,29.25,58.5,104,0.64538,3.3013,3.4433,3.2575,5.4382,5.9251,5.1889,8571,8427,6437,1137,1,6,5
114,71.986,71.966,112.79,8725,103.08,0.95656,361.34,0.67166,0.80326,28.5,57,108,0.79432,3.1269,3.347,3.0382,5.2359,5.6823,4.6224,8142,7658,6019,24,3,39,5
