@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.2599+0.2517+0.23828+0.23321+0.2331... numeric
@attribute '0.28326+0.24729+0.23815+0.23 27-0.20812...' numeric
@attribute '0.26313+0.25111-0.24238-0.23739+0.23 15...' numeric
@attribute '-0.3122+0.28625-0.27143+0.23 40+0.2173...' numeric
@attribute '-0.3413-0.345+0.3  45+0.24540-0.23630...' numeric
@attribute '0.35144+0.28714-0.28423+0.28 43+0.26913...' numeric
@attribute 0.3396+0.3384-0.2625-0.2583+0.23520... numeric
@attribute 0.3154+0.3146+0.3083+0.3075+0.27323... numeric
@attribute -0.42141+0.41637+0.34844-0.2854-0.2856... numeric
@attribute '0.58 14+0.28323-0.2486-0.2464+0.24 7...' numeric
@attribute -0.49323+0.41342+0.31224-0.24441-0.21222... numeric
@attribute -0.49843+0.39744-0.34523+0.28714-0.22137... numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
-0.513227,-3.470758,1.496232,1.632734,-0.759886,0.667681,0.673754,-1.227663,-0.866862,0.254439,0.657498,0.623954,7
0.298725,-0.234165,2.209593,1.791523,0.048143,-1.143049,-0.226072,0.649391,1.15412,-0.635453,-0.539221,-1.059059,8
0.476263,-2.025829,2.35038,0.39608,-0.302026,-1.702392,-1.607226,0.540043,-1.198413,-0.681008,2.458253,1.001232,8
-0.787666,1.21059,1.045416,-0.930414,-1.697003,0.737551,-0.002613,0.107315,-0.185173,-0.066068,0.910384,-0.617191,8
-0.69861,-0.465533,1.379603,3.174102,-3.188731,1.883877,0.190345,1.164978,-0.824247,-0.137348,1.466092,1.290225,8
-3.081705,1.425229,1.319639,-1.353672,-3.243649,5.777169,0.455592,-1.246748,-0.376852,-0.773668,0.364525,-0.987867,8
-1.851337,1.792976,-3.012007,-0.789089,-2.339106,-0.118009,1.890129,0.336902,0.188528,1.177967,-0.148391,0.484604,9
-1.851337,1.792976,-3.012007,-0.789089,-2.339106,-0.118009,1.890129,0.336902,0.188528,1.177967,-0.148391,0.484604,9
-1.851337,1.792976,-3.012007,-0.789089,-2.339106,-0.118009,1.890129,0.336902,0.188528,1.177967,-0.148391,0.484604,9
-1.851337,1.792976,-3.012007,-0.789089,-2.339106,-0.118009,1.890129,0.336902,0.188528,1.177967,-0.148391,0.484604,9
-1.665082,2.373457,-1.75637,0.482521,-0.887385,-0.839206,0.205114,1.753861,0.675824,-0.399819,0.58897,0.55539,9
